TripId	Empcode	NodalName
203825	N0452336	Kolathur Poombugar nagar bus stop
203825	J1123027	Kolathur Periyar Nagar EB
203759	I0717866	Mylapore Tank
203887	N0150802	Ayyapakkam Athipet
203781	M0644693	Nesapakkam Bus Stop
203817	M0136474	Porur Alapakam Bus Stop
203785	M0847372	Mogappair West Bus Depot
203785	M0847383	Mogappair West Bus Depot
203884	M0542939	Ayyapakkam TNHB Colony
203884	N0250966	Annanur Railway Station
203869	M0239098	Thiruninravur Nemilichery
203801	N0552839	Chrompet Bus Stop
203772	G079886	Porur Lakshmi Nagar
203865	N0552583	Avadi Hindu College Railway Station
203848	M0137452	Moolakadai Police Station
203756	M0239093	Porur Bai kadai
203894	M0745347	Ambattur Oragadam
203845	M0136420	Thiruvottiyur Theradi Bus Stop
203833	M1049233	Madhavaram Arul Nagar Bus Stop
203809	M0136840	Taramani Bus Stop
203781	M0137207	Nesapakkam Bus Stop
203885	M0644329	Ayapakkam TNHB Colony
203784	M0339392	Mogappair 7H Bus Stop
203879	N0553094	Ramapuram Signal
203806	N0552575	Pallavaram Olympia Building
203798	M0745348	Mudichur Bus Stop
203869	M0948745	Thirunindravur Bus Stop
203755	M0948974	Kovur Bus Stop
203763	L0730658	Triplicane Bus Stop
203870	N0451974	Pattabiram Police station
203875	M0136779	Avadi Velltech Colege
203772	M0847249	Porur Signal
203816	N0552833	Mogappair 7H Bus Stop
203799	M0339583	Tambaram West Bus Stop
203888	M0846531	Redhills Bus Stop
203804	M0441448	Pammal Bus Stop
203823	N0351474	Kolathur TVK Nagar Bus Stop
203750	M0340193	Adambakkam Police station
203772	N0150656	Porur Signal
203802	M0238515	Chrompet Bus Stop
203879	M0745358	Ramapuram DLF
203886	M0543316	Ayapakkam ICF Colony
203882	M0948228	Thirumullaivoyal Steford Bus Stop
203884	I0516910	Ayyapakkam TNHB Colony
203754	M0745535	Thiruverkadu Police Station
203868	M0441682	Pallikaranai Oil Mill Bus Stop
203799	M0847219	Tambaram West Bus Stop
203781	M0137167	Nesapakkam Bus Stop
203749	L0932198	Medavakkam Koot Road
203856	M0745550	Periamet Bus Stop
203884	L0227454	Annanur Railway Station
203853	N0250986	Ayanavaram Joint Office Bus Stop
203840	M0948248	Vyasarpadi Mullai Nagar Bus Stop
203750	N0452123	Adambakkam NGO Colony bus Stop
203752	N0653248	Poonamallee Kattupakkam Bus Stop
203757	M1150098	RA Puram
203822	N0452353	Kolathur Kumaran Nagar Bus Stop
203894	M0847490	Ambattur Oragadam
203888	M1049056	Redhills Koot Road
203861	D101696	Thirunindravur Bus Stop
203841	M0441392	Padi Brittania Bus Stop
203846	L0730537	Kovilambakkam Bus Stop
203889	E012070	Puzhal Bus Stop
203778	L0932656	CMBT Bus Stop
203835	M1049577	Puzhudhivakkam Bus Stop
203856	M1150226	Periamet Bus Stop
203756	N0351726	Porur Madhnandapuram
203804	K0825237	Pammal Bus Stop
203818	M0846550	Alapakkam Bus Stop
203753	L0831591	Ayanambakkam Ambethkar Station
203864	J0721708	Thirunindravur Bus Stop
203811	L0932742	Velacherry 100 Ft Road
203758	N0653231	Teynampet Signal
203805	N0552710	Perungudi Bus Stop
203834	M1049484	Madhavaram Bus Stop
203837	N0251075	Kodungaiyur Muthamizh Nagar Church
203817	M1150035	Alapakkam Bus Stop
203761	M0137080	St Thomas Mount Bus Stop
203822	M0542183	Perambur Ponniammanmedu
203819	M0136770	Peravallur Bus Stop
203870	K1025548	Avadi Sekadu Bus Stop
203891	M0542713	Redhills Koot Road
203759	L0831212	Mylapore Tank
203842	L0428669	Thiruvottiyur Ajex Bus Stop
203861	M0339569	Thirunindravur Railway Station
203858	N0452204	Villivakkam Nadhamuni Bus Stop
203846	M0238455	Ullagaram Bharath Petroleum Bunk
203824	L0227433	Pallikaranai Bus Stop
203894	M0948254	Ambattur Oragadam
203855	M0340242	Broadway Excellent Hotel
203827	M0441017	Kolathur Vinayagapuram
203844	M0440899	Thiruvottiyur Theradi Bus Stop
